delta,month,measure,quintile,ew_ret,vw_ret,n_obs
0.7,2025-08,STV,4,0.08422850088966342,0.03884768952232369,25
0.7,2025-08,STV,5,45.844403487239994,0.05566039918539368,25
0.7,2025-09,STR,1,-0.16335257113439525,-0.20072214371506572,26
0.7,2025-09,STR,2,-0.13674952028598883,-0.15977204165040862,26
0.7,2025-09,STR,3,-0.03167463833635841,-0.051558312222238764,26
0.7,2025-09,STR,4,-0.18272262964594363,-0.07745861940203004,26
0.7,2025-09,STR,5,0.18457226290836448,-0.15513205676921624,26
0.7,2025-09,STV,1,-0.1783189347790777,-0.07759314624108475,26
0.7,2025-09,STV,2,-0.06604538311720279,-0.25337074078702126,26
0.7,2025-09,STV,3,0.1061895885891825,0.046451056569952416,26
0.7,2025-09,STV,4,-0.10696878553274702,-0.12318496520847382,26
0.7,2025-09,STV,5,-0.08478358165447662,-0.05666694624465726,26
0.7,2025-10,STR,1,-0.2012518764342015,-0.2210983619400678,27
0.7,2025-10,STR,2,-0.12048203283278111,-0.1385356348569216,26
0.7,2025-10,STR,3,-0.01075254472385098,-0.14977151650010298,27
0.7,2025-10,STR,4,-0.02946769867499736,-0.03968503828373679,26
0.7,2025-10,STR,5,-0.2219362508674342,-0.2226966211877528,27
0.7,2025-10,STV,1,-0.14343512310501236,-0.1267962876348936,27
0.7,2025-10,STV,2,-0.18280526422376286,-0.12994402249868492,26
0.7,2025-10,STV,3,-0.12968143683399713,-0.07652072010484347,27
0.7,2025-10,STV,4,-0.10061446165065561,-0.06137849027866512,26
0.7,2025-10,STV,5,-0.03229745084452748,-0.17890921882676872,27
0.7,2025-11,STR,1,-0.08513400691327508,-0.02612971640063977,28
0.7,2025-11,STR,2,0.02333104499710578,-0.018921666557574025,28
0.7,2025-11,STR,3,-0.04594656446950248,-0.06010819316442569,27
0.7,2025-11,STR,4,-0.11083491096090313,-0.1129219417124126,28
0.7,2025-11,STR,5,-0.022677898447952594,-0.029050756635970097,28
0.7,2025-11,STV,1,-0.10234526410435074,-0.04059341431425714,28
0.7,2025-11,STV,2,-0.08186950971980535,-0.05835082630679751,28
0.7,2025-11,STV,3,-0.03703160444977094,-0.04374490099917404,27
0.7,2025-11,STV,4,-0.04921491582751122,-0.10237806846269565,28
0.7,2025-11,STV,5,0.029517349736186842,-0.02051838323943238,28
0.7,2025-12,STR,1,0.0704126871230685,-0.04147304974996789,29
0.7,2025-12,STR,2,0.015433192901456609,-0.0379947958829527,29
0.7,2025-12,STR,3,-0.018297080352886387,-0.004813066096036102,29
0.7,2025-12,STR,4,0.0018159287124416778,-0.058483712550358176,29
